ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11650748,JC218863,04-01-2015 09:00,011XX W 15TH ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,FALSE,FALSE,1232,12,11,28,26,,,2015,04-11-2019 16:07,,,
11651475,JC219287,10-05-2018 16:15,102XX W ZEMKE RD,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,FALSE,FALSE,1654,16,41,76,11,,,2018,04-11-2019 16:07,,,
11645224,JC212415,04-05-2019 07:10,001XX W IDA B WELLS DR,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,121,1,4,32,6,,,2019,04-12-2019 16:08,,,
10237197,HY425098,09/16/2015 12:10:00 AM,007XX E 107TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,513,5,9,50,14,1182980,1833894,2015,02-10-2018 15:50,41.69940379,-87.60562208,"(41.699403785, -87.605622083)"
11231737,JB153259,10-01-2017 10:00,066XX S HERMITAGE AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,FALSE,FALSE,725,7,15,67,11,,,2017,02/18/2018 03:45:39 PM,,,
11233682,JB154368,09/25/2017 12:00:00 PM,041XX N MARINE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,1915,19,46,3,11,,,2017,10/30/2018 04:11:55 PM,,,
11233153,JB155252,11/13/2017 10:31:00 AM,0000X W 36TH ST,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,213,2,3,35,6,,,2017,02/18/2018 03:47:38 PM,,,
11233092,JB155323,12/16/2017 09:30:00 PM,005XX N MONTICELLO AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,FALSE,FALSE,1122,11,27,23,26,,,2017,02/18/2018 03:47:38 PM,,,
11233312,JB155575,12/24/2017 03:00:00 PM,059XX W 64TH PL,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,812,8,13,64,6,,,2017,02/18/2018 03:47:38 PM,,,
11230712,JB151124,02-11-2018 10:00,005XX E 104TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,512,5,9,49,08B,,,2018,02/18/2018 03:47:38 PM,,,
11233209,JB155522,08/21/2017 10:00:00 AM,072XX S CAMPBELL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,832,8,18,66,11,,,2017,02/18/2018 03:47:38 PM,,,
10000572,HY190319,03/19/2015 09:50:00 AM,048XX W MONROE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1144078,1899221,2015,02-10-2018 15:50,41.87948559,-87.74643282,"(41.879485593, -87.746432819)"
11233183,JB155455,02/16/2016 09:00:00 AM,029XX W AUGUSTA BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1211,12,26,24,7,,,2016,02/18/2018 03:47:38 PM,,,
11233337,JB154357,05-01-2017 17:00,047XX N MALDEN ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,1913,19,46,3,2,,,2017,02/18/2018 03:47:38 PM,,,
11233253,JB155577,10-01-2017 18:00,012XX S KEDVALE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,FALSE,FALSE,1011,10,24,29,7,,,2017,02/18/2018 03:47:38 PM,,,
10000573,HY190292,03/17/2015 11:00:00 AM,018XX N HUDSON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1813,18,43,7,6,1172976,1912460,2015,02-10-2018 15:50,41.91522286,-87.63993122,"(41.915222862, -87.639931215)"
11233154,JB155334,08-08-2015 12:00,050XX W 55TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,814,8,23,56,7,,,2015,02/18/2018 03:47:38 PM,,,
11233094,JB155324,12-05-2017 09:00,017XX N LOCKWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,2532,25,37,25,26,,,2017,02/18/2018 03:47:38 PM,,,
11233432,JB155473,06/16/2016 11:40:00 AM,080XX S EBERHART AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,631,6,6,44,11,,,2016,02/18/2018 03:47:38 PM,,,
11233455,JB155579,12-10-2017 14:00,049XX S PULASKI RD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,SIDEWALK,FALSE,FALSE,815,8,14,57,26,,,2017,02/18/2018 03:47:38 PM,,,
1930689,HH109118,01-05-2002 21:24,007XX E 103 ST,820,THEFT,$500 AND UNDER,GAS STATION,TRUE,FALSE,512,5,,,6,,,2002,02-04-2016 06:33,,,
10238175,HY425732,09/16/2015 09:00:00 AM,016XX N VINE ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1813,18,43,7,6,1171771,1911295,2015,02-10-2018 15:50,41.91205269,-87.6443926,"(41.912052691, -87.644392601)"
11233198,JB155475,05/14/2017 12:00:00 AM,077XX S RHODES AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,624,6,6,69,5,,,2017,02/18/2018 03:47:38 PM,,,
